family,n,bitflip_rate,shots,method,metric,mean,ci_low,ci_high,circuits
SU2-HaarU4-brickwork,8,0.0,100,aligned_crossfit,actual_retention,0.08570737431855258,0.08428936680778765,0.08713888760067309,16
SU2-HaarU4-brickwork,8,0.0,100,aligned_crossfit,rho,2.731922556403865,2.686690393648199,2.776976437864892,16
SU2-HaarU4-brickwork,8,0.0,100,aligned_crossfit,expected_scalar_directional_grad2,0.005230167098593775,0.005138979855812601,0.005325382947164589,16
SU2-HaarU4-brickwork,8,0.0,100,aligned_crossfit,estimated_parameter_gradient_norm2,6.025152497580087,5.919622800157444,6.135659767961513,16
SU2-HaarU4-brickwork,8,0.0,100,aligned_crossfit,finite_difference_snr_mean,0.010286587265139386,0.009899538883235406,0.010673465906947718,16
SU2-HaarU4-brickwork,8,0.0,100,aligned_crossfit,linearized_shots_for_snr1,957226.2012330658,940143.2991047031,973448.575785339,16
SU2-HaarU4-brickwork,8,0.0,100,physical,actual_retention,0.02927754580294785,0.02858089603419136,0.03001617747001371,16
SU2-HaarU4-brickwork,8,0.0,100,physical,rho,0.9332217724689645,0.9108197347236799,0.9572739147836462,16
SU2-HaarU4-brickwork,8,0.0,100,physical,expected_scalar_directional_grad2,0.0017653363205629249,0.0017266378379805051,0.0018061113513204235,16
SU2-HaarU4-brickwork,8,0.0,100,physical,estimated_parameter_gradient_norm2,2.033667441288542,1.987225017470397,2.0801388644671834,16
SU2-HaarU4-brickwork,8,0.0,100,physical,finite_difference_snr_mean,0.005931080210001594,0.005701157618237557,0.006176346030477958,16
SU2-HaarU4-brickwork,8,0.0,100,physical,linearized_shots_for_snr1,2838193.783414044,2773746.9514907724,2901358.708972113,16
SU2-HaarU4-brickwork,8,0.0,100,random_rank,actual_retention,0.03102285991431267,0.030211621680010264,0.031979159184954746,16
SU2-HaarU4-brickwork,8,0.0,100,random_rank,rho,0.9888536597687176,0.9620158017385517,1.0187414319030432,16
