family,n,method,metric,mean,ci_low,ci_high,circuits
SU2-HaarU4-brickwork,8,aligned_crossfit,actual_retention,0.08570737431855258,0.08430987597061572,0.08714946877076514,16
SU2-HaarU4-brickwork,8,aligned_crossfit,rho,2.7319225564038647,2.6864243426582783,2.7760402172480956,16
SU2-HaarU4-brickwork,8,aligned_crossfit,expected_scalar_directional_grad2,0.005230167098593775,0.005141465683829575,0.005325276555894075,16
SU2-HaarU4-brickwork,8,aligned_crossfit,estimated_parameter_gradient_norm2,6.025152497580087,5.9204803164069055,6.136237421875769,16
SU2-HaarU4-brickwork,8,aligned_crossfit,linearized_fd_snr,0.1022591669163315,0.10137846093803393,0.10318759808102719,16
SU2-HaarU4-brickwork,8,aligned_crossfit,finite_difference_snr_mean,0.10286587265139385,0.09894689352898443,0.10684201687911757,16
SU2-HaarU4-brickwork,8,aligned_crossfit,finite_difference_grad2_mean,0.0056373658789858755,0.00522915797931263,0.006058902865816912,16
SU2-HaarU4-brickwork,8,aligned_crossfit,finite_difference_relative_error_mean,3.703129864883982e-05,3.479774889107908e-05,3.948633677919411e-05,16
SU2-HaarU4-brickwork,8,physical,actual_retention,0.02927754580294785,0.028583663457253883,0.030018314264322565,16
SU2-HaarU4-brickwork,8,physical,rho,0.9332217724689645,0.9110054731100822,0.9574457168998933,16
SU2-HaarU4-brickwork,8,physical,expected_scalar_directional_grad2,0.0017653363205629249,0.0017265664223991466,0.001805542803748701,16
SU2-HaarU4-brickwork,8,physical,estimated_parameter_gradient_norm2,2.033667441288542,1.9886272381539543,2.081201441921007,16
SU2-HaarU4-brickwork,8,physical,linearized_fd_snr,0.05940392753022289,0.05873917222708489,0.0600955721267772,16
SU2-HaarU4-brickwork,8,physical,finite_difference_snr_mean,0.05931080210001594,0.05697492040607213,0.06175839437977553,16
SU2-HaarU4-brickwork,8,physical,finite_difference_grad2_mean,0.0018851069727660874,0.0017381254442598343,0.002034416957075274,16
SU2-HaarU4-brickwork,8,physical,finite_difference_relative_error_mean,3.0959449058317576e-05,2.9683775543461838e-05,3.223046284853873e-05,16
SU2-HaarU4-brickwork,8,random_rank,actual_retention,0.03102285991431267,0.03018652674714259,0.03198805642267261,16
SU2-HaarU4-brickwork,8,random_rank,rho,0.9888536597687176,0.9627374382853431,1.0190972644546192,16
SU2-HaarU4-brickwork,8,random_rank,expected_scalar_directional_grad2,0.0018734914204691438,0.0018212380284208976,0.0019319385822582627,16
SU2-HaarU4-brickwork,8,random_rank,estimated_parameter_gradient_norm2,2.1582621163805005,2.0979395274031507,2.2269118729203154,16
SU2-HaarU4-brickwork,8,random_rank,linearized_fd_snr,0.06118527458715053,0.060353008950096064,0.06211808989106751,16
SU2-HaarU4-brickwork,8,random_rank,finite_difference_snr_mean,0.0605129161087688,0.05789021170901065,0.06320116668940425,16
SU2-HaarU4-brickwork,8,random_rank,finite_difference_grad2_mean,0.0019729136579570623,0.0018163110777650213,0.002145121724030964,16
SU2-HaarU4-brickwork,8,random_rank,finite_difference_relative_error_mean,5.487225976699684e-05,4.897696104709864e-05,6.13966598753641e-05,16
SU2-HaarU4-brickwork,10,aligned_crossfit,actual_retention,0.04296809321729346,0.042088625088210964,0.04382666736864034,16
SU2-HaarU4-brickwork,10,aligned_crossfit,rho,4.395635936129127,4.304014083928478,4.483607837517338,16
SU2-HaarU4-brickwork,10,aligned_crossfit,expected_scalar_directional_grad2,0.0021019708163926877,0.0020579342632853943,0.0021454747190534787,16
SU2-HaarU4-brickwork,10,aligned_crossfit,estimated_parameter_gradient_norm2,3.7835474695069182,3.703857161608723,3.8618460381905284,16
SU2-HaarU4-brickwork,10,aligned_crossfit,linearized_fd_snr,0.06482288123453059,0.06412040753070228,0.06549847496127911,16
SU2-HaarU4-brickwork,10,aligned_crossfit,finite_difference_snr_mean,0.06249346379623743,0.06040435964022978,0.0645647349304429,16
SU2-HaarU4-brickwork,10,aligned_crossfit,finite_difference_grad2_mean,0.0020618690351721066,0.0019426467404803141,0.0021818007512751474,16
SU2-HaarU4-brickwork,10,aligned_crossfit,finite_difference_relative_error_mean,4.552023761569731e-05,3.5136783666584605e-05,6.222386706316231e-05,16
SU2-HaarU4-brickwork,10,physical,actual_retention,0.009317307423358769,0.009143642245967285,0.009500604181831405,16
SU2-HaarU4-brickwork,10,physical,rho,0.9531605494096073,0.9346464517587723,0.9719651237418763,16
SU2-HaarU4-brickwork,10,physical,expected_scalar_directional_grad2,0.0004531596014616875,0.0004438045821120083,0.0004626853430598617,16
SU2-HaarU4-brickwork,10,physical,estimated_parameter_gradient_norm2,0.8156872826311479,0.7982223550705152,0.8328832337449799,16
SU2-HaarU4-brickwork,10,physical,linearized_fd_snr,0.030098313601954488,0.029779688581928043,0.03041869811266835,16
SU2-HaarU4-brickwork,10,physical,finite_difference_snr_mean,0.02941433485389168,0.028399145903905635,0.030542036879146677,16
SU2-HaarU4-brickwork,10,physical,finite_difference_grad2_mean,0.0004506784200680187,0.0004187763249179191,0.0004869336392969264,16
SU2-HaarU4-brickwork,10,physical,finite_difference_relative_error_mean,3.004604097584763e-05,2.9012651846694422e-05,3.107010084190138e-05,16
SU2-HaarU4-brickwork,10,random_rank,actual_retention,0.00983666021137504,0.009620914612205867,0.01005761947593358,16
SU2-HaarU4-brickwork,10,random_rank,rho,1.0062903396236704,0.984349240816294,1.0284742616210671,16
SU2-HaarU4-brickwork,10,random_rank,expected_scalar_directional_grad2,0.0004782800467700375,0.00046795167642738733,0.0004888329261484527,16
SU2-HaarU4-brickwork,10,random_rank,estimated_parameter_gradient_norm2,0.8609040841861763,0.8422698808472213,0.8800836777149048,16
SU2-HaarU4-brickwork,10,random_rank,linearized_fd_snr,0.030920613819974,0.030587075688494864,0.0312707339464173,16
SU2-HaarU4-brickwork,10,random_rank,finite_difference_snr_mean,0.0304573703635412,0.02931953676232129,0.031596013573101274,16
SU2-HaarU4-brickwork,10,random_rank,finite_difference_grad2_mean,0.0004837594753477688,0.00044706705702684955,0.0005197144621205432,16
SU2-HaarU4-brickwork,10,random_rank,finite_difference_relative_error_mean,6.952384617459002e-05,5.335009198110016e-05,9.643077622771711e-05,16
SU2-HaarU4-brickwork,12,aligned_crossfit,actual_retention,0.02616450376413732,0.025822333546940433,0.026502256014245818,16
SU2-HaarU4-brickwork,12,aligned_crossfit,rho,8.928636909511878,8.81364989460891,9.046667211800997,16
SU2-HaarU4-brickwork,12,aligned_crossfit,expected_scalar_directional_grad2,0.0010713113537411936,0.0010577342448134977,0.001084887334310067,16
SU2-HaarU4-brickwork,12,aligned_crossfit,estimated_parameter_gradient_norm2,2.7768390288973217,2.7423843020063727,2.812202801003121,16
SU2-HaarU4-brickwork,12,aligned_crossfit,linearized_fd_snr,0.04628469927985625,0.04600892501127292,0.04657948358976447,16
