family,n,k,analysis_status,circuits,metric,mean,ci95_low,ci95_high
RY-RZ-CZ-line,6,1,exploratory_post_hoc,16,enhancement,0.9336939175186365,0.8999711980974081,0.9641086725034875
RY-RZ-CZ-line,6,1,exploratory_post_hoc,16,abs_rho_minus_one,0.07519254782577747,0.04986927482779748,0.10408832083646143
RY-RZ-CZ-line,6,1,exploratory_post_hoc,16,orientation_growth_ratio,0.09519536523853872,0.0639381080653311,0.13027755649606823
RY-RZ-CZ-line,6,1,exploratory_post_hoc,16,population_orientation_z,-1.314335538444858,-1.9604100886289957,-0.7069916142580002
RY-RZ-CZ-line,6,1,exploratory_post_hoc,16,r_times_deff,248.5626176456809,242.495301758268,254.9163427012168
RY-RZ-CZ-line,6,1,exploratory_post_hoc,16,null_scale_factor,0.7802404428911848,0.7609281022697342,0.7987832025597098
RY-RZ-CZ-line,6,2,exploratory_post_hoc,16,enhancement,0.9781070460097794,0.9641708741010404,0.9916082614261893
RY-RZ-CZ-line,6,2,exploratory_post_hoc,16,abs_rho_minus_one,0.027233876481322514,0.016653419822104283,0.03856286617561764
RY-RZ-CZ-line,6,2,exploratory_post_hoc,16,orientation_growth_ratio,0.04090779781700384,0.024579826482864078,0.05841635312250264
RY-RZ-CZ-line,6,2,exploratory_post_hoc,16,population_orientation_z,-0.9587650920031832,-1.5780772607899012,-0.3528124791867075
RY-RZ-CZ-line,6,2,exploratory_post_hoc,16,r_times_deff,869.969161759883,848.7068201877784,891.9582072089181
RY-RZ-CZ-line,6,2,exploratory_post_hoc,16,null_scale_factor,0.6697545537112606,0.6533241374221656,0.6855151855469965
RY-RZ-CZ-line,8,1,exploratory_post_hoc,16,enhancement,0.9000647958693823,0.871872643043976,0.9278125290047724
RY-RZ-CZ-line,8,1,exploratory_post_hoc,16,abs_rho_minus_one,0.10230496382158046,0.0776357405391908,0.12854921444722506
RY-RZ-CZ-line,8,1,exploratory_post_hoc,16,orientation_growth_ratio,0.09794170154075207,0.07404782176789257,0.12388872608611799
RY-RZ-CZ-line,8,1,exploratory_post_hoc,16,population_orientation_z,-2.850691427904477,-3.6619948458610505,-2.0523421762286485
RY-RZ-CZ-line,8,1,exploratory_post_hoc,16,r_times_deff,876.0413830296002,858.3475152782934,893.9605957340597
RY-RZ-CZ-line,8,1,exploratory_post_hoc,16,null_scale_factor,1.0491794667769545,1.040969441430266,1.0571938626713417
RY-RZ-CZ-line,8,2,exploratory_post_hoc,16,enhancement,0.9511498209677525,0.939143901298831,0.9635258166273264
RY-RZ-CZ-line,8,2,exploratory_post_hoc,16,abs_rho_minus_one,0.0488501790322475,0.0361742323772854,0.06081315594310664
RY-RZ-CZ-line,8,2,exploratory_post_hoc,16,orientation_growth_ratio,0.049625485653844836,0.03630136568809551,0.06198637724602654
RY-RZ-CZ-line,8,2,exploratory_post_hoc,16,population_orientation_z,-3.1300991431736294,-3.9234415662358457,-2.3266221397179447
RY-RZ-CZ-line,8,2,exploratory_post_hoc,16,r_times_deff,3942.186223633201,3863.252331110219,4023.2047648672383
RY-RZ-CZ-line,8,2,exploratory_post_hoc,16,null_scale_factor,0.9879236071244294,0.9801094404017039,0.9955692864941357
RY-RZ-CZ-line,10,1,exploratory_post_hoc,16,enhancement,0.8911600216006037,0.8600163143781129,0.9187609109058079
RY-RZ-CZ-line,10,1,exploratory_post_hoc,16,abs_rho_minus_one,0.10883997839939633,0.08169468066089064,0.13918346867380404
RY-RZ-CZ-line,10,1,exploratory_post_hoc,16,orientation_growth_ratio,0.08833916814949905,0.06562536936116019,0.1135975019528161
RY-RZ-CZ-line,10,1,exploratory_post_hoc,16,population_orientation_z,-4.308759053623691,-5.568301129871248,-3.1519202847256533
RY-RZ-CZ-line,10,1,exploratory_post_hoc,16,r_times_deff,2349.6112070249733,2286.9059537081766,2407.479768573697
RY-RZ-CZ-line,10,1,exploratory_post_hoc,16,null_scale_factor,1.234504938170911,1.2299823346059573,1.2395536068954789
RY-RZ-CZ-line,10,2,exploratory_post_hoc,16,enhancement,0.933175572673012,0.9231190685132431,0.9445641663201667
RY-RZ-CZ-line,10,2,exploratory_post_hoc,16,abs_rho_minus_one,0.06682442732698794,0.05555580176998077,0.07707612908707295
RY-RZ-CZ-line,10,2,exploratory_post_hoc,16,orientation_growth_ratio,0.055447161256455206,0.04560380085785682,0.0637532359432639
RY-RZ-CZ-line,10,2,exploratory_post_hoc,16,population_orientation_z,-6.328753894008094,-7.349868038331725,-5.212013251731623
RY-RZ-CZ-line,10,2,exploratory_post_hoc,16,r_times_deff,12922.861638637352,12575.961330920827,13237.574612174116
RY-RZ-CZ-line,10,2,exploratory_post_hoc,16,null_scale_factor,1.20677356309662,1.2023122793617635,1.2115808873876228
RY-RZ-CZ-line,12,1,exploratory_post_hoc,16,enhancement,0.8855683766631794,0.8701061610824693,0.9015086712699957
RY-RZ-CZ-line,12,1,exploratory_post_hoc,16,abs_rho_minus_one,0.11443162333682051,0.098246889521276,0.12972674685206867
RY-RZ-CZ-line,12,1,exploratory_post_hoc,16,orientation_growth_ratio,0.08554393201362576,0.07362538977746332,0.0971064559374352
RY-RZ-CZ-line,12,1,exploratory_post_hoc,16,population_orientation_z,-6.067846896986303,-6.8928060745333415,-5.209435034804675
RY-RZ-CZ-line,12,1,exploratory_post_hoc,16,r_times_deff,5035.311639303085,4914.755961294437,5154.1036087657485
RY-RZ-CZ-line,12,1,exploratory_post_hoc,16,null_scale_factor,1.3376666676448987,1.3358059188977098,1.3394591149175663
RY-RZ-CZ-line,12,2,exploratory_post_hoc,16,enhancement,0.9352891090281996,0.9268918306095414,0.9431655489360405
RY-RZ-CZ-line,12,2,exploratory_post_hoc,16,abs_rho_minus_one,0.06471089097180044,0.05679474931954045,0.07292513263193881
RY-RZ-CZ-line,12,2,exploratory_post_hoc,16,orientation_growth_ratio,0.048765444102922724,0.04279726223276946,0.055029754834428735
RY-RZ-CZ-line,12,2,exploratory_post_hoc,16,population_orientation_z,-8.809937554038417,-9.935990003791897,-7.76051075103067
RY-RZ-CZ-line,12,2,exploratory_post_hoc,16,r_times_deff,32729.525655470054,31941.488651949596,33500.77007785495
RY-RZ-CZ-line,12,2,exploratory_post_hoc,16,null_scale_factor,1.3268112072311307,1.3250419090518575,1.3286458518047708
RY-RZ-CZ-line,14,1,exploratory_post_hoc,12,enhancement,0.8741854790008513,0.8540643226808502,0.8958303375303378
RY-RZ-CZ-line,14,1,exploratory_post_hoc,12,abs_rho_minus_one,0.12581452099914858,0.10426720188959578,0.1461258289359439
RY-RZ-CZ-line,14,1,exploratory_post_hoc,12,orientation_growth_ratio,0.09079146081600302,0.07523236081743503,0.10531302289663572
RY-RZ-CZ-line,14,1,exploratory_post_hoc,12,population_orientation_z,-8.58144789084977,-9.970007596130998,-7.097632422689683
RY-RZ-CZ-line,14,1,exploratory_post_hoc,12,r_times_deff,8922.663462126484,8725.491738754472,9110.185748588232
RY-RZ-CZ-line,14,1,exploratory_post_hoc,12,null_scale_factor,1.3857975435159933,1.3852072904964179,1.386408543331301
RY-RZ-CZ-line,14,2,exploratory_post_hoc,12,enhancement,0.9273865432436516,0.9190681257477871,0.935203308443489
RY-RZ-CZ-line,14,2,exploratory_post_hoc,12,abs_rho_minus_one,0.07261345675634844,0.06447220668493191,0.080922734303697
RY-RZ-CZ-line,14,2,exploratory_post_hoc,12,orientation_growth_ratio,0.052546567271711565,0.046746966594349106,0.05851206116303515
RY-RZ-CZ-line,14,2,exploratory_post_hoc,12,population_orientation_z,-13.603595861591986,-15.169467965992688,-12.081557648681857
RY-RZ-CZ-line,14,2,exploratory_post_hoc,12,r_times_deff,66919.97596594863,65459.69984211306,68361.63795572684
RY-RZ-CZ-line,14,2,exploratory_post_hoc,12,null_scale_factor,1.3819401505032198,1.3813475236848831,1.3825533357968687
RY-RZ-CZ-line,16,1,exploratory_post_hoc,12,enhancement,0.8766269483847471,0.8653075520074448,0.8919969993274706
RY-RZ-CZ-line,16,1,exploratory_post_hoc,12,abs_rho_minus_one,0.12337305161525287,0.10755490039797283,0.1348834044301029
RY-RZ-CZ-line,16,1,exploratory_post_hoc,12,orientation_growth_ratio,0.0878581494108464,0.0767489037467713,0.09600461132619911
RY-RZ-CZ-line,16,1,exploratory_post_hoc,12,population_orientation_z,-10.571112195497422,-11.561203465707408,-9.192592933626312
RY-RZ-CZ-line,16,1,exploratory_post_hoc,12,r_times_deff,14426.684108332984,14035.18954311767,14798.471253427353
RY-RZ-CZ-line,16,1,exploratory_post_hoc,12,null_scale_factor,1.404268846290929,1.4040123046751118,1.4045288993275504
RY-RZ-CZ-line,16,2,exploratory_post_hoc,12,enhancement,0.9197440393976896,0.9134307745574882,0.9261843277385083
RY-RZ-CZ-line,16,2,exploratory_post_hoc,12,abs_rho_minus_one,0.08025596060231051,0.07403439980819401,0.0867686224651957
